,IDENTIFIER,DAYS_ENGAGED,APPS_USED
256276,231189,2,10.0
256277,111008,4,10.0
256281,131934,13,18.0
256283,220900,4,
256284,288900,1,3.0
256292,131993,2,4.0
256293,303470,2,6.0
256297,275515,1,
256307,156503,5,9.0
256309,246107,2,4.0
256311,229052,7,6.0
256312,117525,4,9.0
256313,251690,3,5.0
256315,150174,3,8.0
256319,145015,7,4.0
256326,275911,1,2.0
256331,268328,2,1.0
256333,127048,4,
256336,106856,2,1.0
256338,241331,1,1.0
256340,257759,4,18.0
256345,151474,1,
256346,187186,1,
256350,321860,3,3.0
256418,307171,1,
256420,316207,2,2.0
256425,139290,1,6.0
256428,265165,2,2.0
256432,102642,3,3.0
256440,132858,2,3.0
256442,152540,1,5.0
256444,269468,10,9.0
256451,185984,4,2.0
256453,216416,3,7.0
256458,131002,3,10.0
256459,214445,4,2.0
256467,218429,1,1.0
256468,157304,4,9.0
256474,191882,4,
256478,301964,6,17.0
256480,157690,4,3.0
256481,144774,2,3.0
256485,133013,9,3.0
256494,311174,2,3.0
256496,142573,6,11.0
256498,251676,1,2.0
256501,169980,7,9.0
256504,318742,3,7.0
256510,176225,1,2.0
256511,237726,2,2.0
256514,253034,1,
256515,183257,2,3.0
256521,247529,1,
256523,225794,6,11.0
256531,300468,5,4.0
256533,181242,4,5.0
256543,265382,1,2.0
256548,314292,1,6.0
256554,121315,3,6.0
256564,236957,2,4.0
256565,137293,1,4.0
256567,134719,3,5.0
256568,236818,3,6.0
256570,234175,2,
256582,109653,8,17.0
256585,303225,1,
256591,142098,5,8.0
256599,240564,3,3.0
256602,277008,6,21.0
256606,181447,6,9.0
256608,103157,5,10.0
256609,237613,3,4.0
256613,179981,1,1.0
256616,302840,1,1.0
256619,214308,8,3.0
256620,113110,6,8.0
256621,266642,1,1.0
256622,209985,3,4.0
256623,269205,1,1.0
256625,219021,1,
256626,288163,1,
256632,220134,1,
256638,150193,8,10.0
256640,156177,4,8.0
256641,107925,3,10.0
256651,106262,8,9.0
256654,145851,2,3.0
256656,147097,4,5.0
256658,163227,4,2.0
256663,186137,4,6.0
256666,261380,2,2.0
256667,278882,1,10.0
256668,296956,5,10.0
256669,128622,4,10.0
256674,302305,1,2.0
256729,121217,5,5.0
256733,325326,1,4.0
256738,325693,4,
256741,192685,1,
256742,165187,2,1.0
256755,184307,2,2.0
256766,173964,5,6.0
256771,172051,6,21.0
256773,130037,1,
256774,307998,3,5.0
256775,181479,1,
256777,274102,2,11.0
256782,252685,7,4.0
256784,156695,5,24.0
256785,217625,1,
256786,274911,1,2.0
256791,249088,12,4.0
256792,154146,1,
256798,318992,5,4.0
256799,169586,2,1.0
256805,303179,1,
256808,225475,1,2.0
256815,179897,3,1.0
256816,161354,1,3.0
256817,192005,8,9.0
256821,105142,4,4.0
256823,143818,4,6.0
256824,283769,2,3.0
256828,114045,7,8.0
256835,257578,12,12.0
256836,178536,1,2.0
256837,152315,5,5.0
256838,230271,2,2.0
256841,211494,3,3.0
256845,111213,3,2.0
256847,170960,1,
256848,175552,4,2.0
256849,150232,6,8.0
256852,294612,5,10.0
256855,230570,3,3.0
256856,252552,3,
256858,307545,1,1.0
256859,103773,2,
256862,158647,5,5.0
256866,299446,1,
256870,208388,6,10.0
256872,181835,4,7.0
256873,239747,6,13.0
256875,284056,2,1.0
256882,138036,2,5.0
256883,288147,3,
256892,107835,2,2.0
256895,180366,2,4.0
256896,159953,11,39.0
256899,239216,1,1.0
256901,180460,1,
256904,105521,6,6.0
256906,132509,5,6.0
256912,154928,10,2.0
256915,301269,1,
256920,144227,2,
256921,148600,5,2.0
256923,165278,3,3.0
256926,156993,5,49.0
256928,165253,3,3.0
256930,283076,1,1.0
256937,188392,4,1.0
256940,321963,1,2.0
256946,249944,1,
256949,274361,1,1.0
256957,309229,2,3.0
256958,108506,3,6.0
256963,152717,2,3.0
257029,182583,5,18.0
257035,124289,1,1.0
257037,315713,3,
257038,287484,1,
257041,306211,2,2.0
257047,141870,2,3.0
257050,238238,8,8.0
257053,171266,5,5.0
257055,116681,2,5.0
257061,146920,3,2.0
257068,238228,1,3.0
257073,274013,2,
257076,104187,5,9.0
257079,315217,5,5.0
257086,247029,3,7.0
257087,210878,2,5.0
257089,222718,3,3.0
257092,238798,4,3.0
257096,172747,1,1.0
257100,174385,4,2.0
257101,138961,2,3.0
257105,256391,2,
257106,284380,2,4.0
257107,260839,2,6.0
257108,224850,2,6.0
257110,238914,3,
257115,204795,6,7.0
257117,121156,4,7.0
257118,243305,2,1.0
257122,288567,3,7.0
257124,180802,2,3.0
257125,191520,2,2.0
257126,314455,4,7.0
257127,295910,1,
257130,177805,3,4.0
257133,108795,5,4.0
257134,190385,3,
257135,297791,3,1.0
257137,139651,2,5.0
257138,252755,1,
257140,162620,1,
257141,250383,6,9.0
257145,195713,2,1.0
257162,215152,6,8.0
257166,271085,9,30.0
257169,112746,3,5.0
257172,142139,8,11.0
257175,229093,2,2.0
257176,301913,3,1.0
257178,187462,3,3.0
257187,262194,6,3.0
257189,321904,4,11.0
257193,186762,3,1.0
257197,141379,1,2.0
257199,257371,4,2.0
257204,241004,2,7.0
257209,298668,2,3.0
257212,297139,1,
257213,116727,4,4.0
257216,285127,2,1.0
257217,240919,3,1.0
257220,113237,4,11.0
257221,193391,4,4.0
257226,134603,2,3.0
257237,292147,6,6.0
257238,128243,2,2.0
257302,257883,1,
257304,272477,3,4.0
257309,169703,1,
257318,262615,4,2.0
257320,217050,2,4.0
257324,163323,1,
257335,312637,3,1.0
257338,308984,1,1.0
257339,310796,2,6.0
257343,261989,8,9.0
257344,188418,4,5.0
257353,135442,1,1.0
257354,235835,1,
257355,192898,3,3.0
257358,305639,2,1.0
257359,145632,3,2.0
257360,239095,2,3.0
257361,250430,2,5.0
257371,275015,2,7.0
257372,167810,4,4.0
257374,275210,2,2.0
257376,222463,3,4.0
257385,301064,2,1.0
257388,248262,1,2.0
257393,256810,2,9.0
257395,188692,1,
257398,316135,6,9.0
257399,132616,11,28.0
257405,274147,5,1.0
257411,181057,6,11.0
257412,318760,5,13.0
257417,236693,1,1.0
257419,314660,7,
257420,170638,1,
257423,129781,2,1.0
257425,290638,4,4.0
257431,180282,2,4.0
257434,262547,2,2.0
257437,118718,1,
257442,303492,1,
257443,148308,1,1.0
257445,110377,5,14.0
257453,167710,4,9.0
257459,125346,1,
257463,141006,1,1.0
257466,292636,4,13.0
257473,195670,1,3.0
257478,279867,1,2.0
257484,101833,7,13.0
257486,324933,5,3.0
257492,217702,1,2.0
257493,219434,2,
257499,306252,5,3.0
257502,324860,4,3.0
257503,311581,1,
257505,229033,5,9.0
257510,228485,4,6.0
257511,238053,1,1.0
257512,132960,2,3.0
257526,105709,3,3.0
257529,250398,1,2.0
257576,170308,2,4.0
257580,242627,3,4.0
257581,147165,3,4.0
257582,160014,7,7.0
257584,183516,4,6.0
257587,185012,1,1.0
257589,301810,1,2.0
257592,262451,1,5.0
257595,108255,5,4.0
257597,185453,2,3.0
257602,315084,1,
257604,152281,3,2.0
257606,287247,1,1.0
257607,271239,2,6.0
257611,110347,2,2.0
257616,210745,2,2.0
257617,262536,5,
257618,127462,1,2.0
257620,139421,1,3.0
257621,242546,1,
257622,176917,1,1.0
257625,204295,1,
257626,260133,2,
257628,314495,1,1.0
257633,239325,6,22.0
257637,256204,1,1.0
257642,108576,3,5.0
257643,194013,5,8.0
257645,222085,2,3.0
257646,309975,2,1.0
257648,117187,9,20.0
257649,324047,2,5.0
257651,209913,3,1.0
257656,147250,1,1.0
257658,295180,1,6.0
257660,122432,5,16.0
257662,272790,1,
257666,259820,1,
257667,138447,2,1.0
257668,218006,1,1.0
257672,309807,2,3.0
257676,108738,6,2.0
257680,184818,2,6.0
257688,324045,2,5.0
257689,165177,4,5.0
257691,102240,2,1.0
257692,118460,5,2.0
257701,135339,3,10.0
257702,197821,1,2.0
257704,139890,1,2.0
257707,317340,3,6.0
257709,293919,5,5.0
257711,210168,3,3.0
257720,286443,2,1.0
257722,237978,1,
257734,247099,2,8.0
257736,288300,1,1.0
257740,113115,2,6.0
257747,254783,1,
257750,208656,1,
257756,304489,6,3.0
257759,260297,1,
257760,247427,1,
257763,254275,10,11.0
257770,292460,1,
257774,260284,3,
257776,218646,3,3.0
257779,324284,3,2.0
257780,131134,2,
257781,221815,6,10.0
257784,196244,6,7.0
257789,223545,2,1.0
257790,149818,3,4.0
257840,267310,1,1.0
257843,164139,2,3.0
257844,188303,2,3.0
257848,197428,2,2.0
257849,311955,1,
257857,302283,1,
257859,296946,1,1.0
257867,298701,3,2.0
257871,183080,1,
257874,224582,4,
257876,194476,1,
257878,213246,2,8.0
257879,316848,1,3.0
257881,123730,4,9.0
257884,262883,2,9.0
257888,106759,2,
257889,216913,5,4.0
257892,196359,1,
257893,312760,3,6.0
257897,238908,2,17.0
257901,211059,3,7.0
257902,254418,3,10.0
257904,233463,4,
257906,123854,4,10.0
257908,318158,3,1.0
257913,222837,1,
257916,179365,1,
257917,259100,3,4.0
257918,140724,9,10.0
257919,264843,3,2.0
257926,284051,2,9.0
257928,291176,1,1.0
257933,123068,1,1.0
257936,177913,1,3.0
257938,255064,2,1.0
257942,122210,2,
257945,162605,3,12.0
257946,115836,2,3.0
257948,128323,3,8.0
257949,220672,9,22.0
257951,189186,3,4.0
257959,173692,1,
257976,260866,1,
257977,298092,4,
257980,118229,4,4.0
257983,248148,1,
257989,224524,1,8.0
257992,314704,1,2.0
257998,242830,1,
258002,166985,3,2.0
258005,295782,1,
258007,268168,2,4.0
258012,178888,2,2.0
258016,153906,3,10.0
258017,295285,2,
258021,318301,1,
258030,195394,2,7.0
258035,170451,1,
258037,229046,8,17.0
258038,199786,1,2.0
258042,131585,3,2.0
258050,138258,6,8.0
258057,222273,1,2.0
258059,181033,4,12.0
258060,124888,7,13.0
258061,189355,1,1.0
258101,214868,5,8.0
258103,175850,2,2.0
258104,323557,2,3.0
258106,122168,4,5.0
258107,245131,1,
258111,290587,2,8.0
258112,106143,6,8.0
258113,187065,4,4.0
258114,196240,3,2.0
258115,280391,1,1.0
258116,148435,2,4.0
258118,270998,2,1.0
258121,140842,4,6.0
258123,270133,1,
258125,277850,1,
258126,172170,1,
258128,217714,4,1.0
258135,191405,6,13.0
258136,173539,3,5.0
258139,280405,3,9.0
258140,111831,6,4.0
258144,117679,1,1.0
258145,227049,3,8.0
258149,257984,2,2.0
258154,264123,2,3.0
258159,251481,5,2.0
258160,264126,1,1.0
258164,107744,1,1.0
258165,230248,1,3.0
258167,219037,2,
258168,140892,2,13.0
258171,158472,4,3.0
258173,211718,2,2.0
258175,276779,1,2.0
258184,144086,4,2.0
258186,184179,1,7.0
258188,158624,2,9.0
258199,197401,2,4.0
258202,291352,6,5.0
258212,116605,3,8.0
258214,211871,4,2.0
258217,195556,3,4.0
258221,263089,3,3.0
258226,126126,3,5.0
258227,139451,1,
258228,236814,2,3.0
258234,138496,3,3.0
258239,227960,1,3.0
258241,157188,1,1.0
258243,285795,1,
258246,269896,3,10.0
258247,215158,3,3.0
258250,306350,2,1.0
258253,284709,4,9.0
258256,122675,4,10.0
258258,166021,1,
258259,130643,3,1.0
258260,151419,1,4.0
258261,311813,6,7.0
258266,109455,1,1.0
258268,281577,1,1.0
258276,120933,5,4.0
258277,156143,7,4.0
258284,209736,1,1.0
258285,152056,2,2.0
258286,107989,3,6.0
258316,266622,2,4.0
258319,308811,1,1.0
258324,299528,3,2.0
258325,312638,2,12.0
258326,316850,1,1.0
258329,239319,1,2.0
258330,316693,1,1.0
258333,159959,2,3.0
258341,257079,2,2.0
258344,274720,1,4.0
258352,156358,3,7.0
258354,214414,2,1.0
258356,144128,4,8.0
258357,204917,1,2.0
258359,184526,6,18.0
258365,113524,1,2.0
258369,236790,1,1.0
258376,220409,6,7.0
258377,226136,1,2.0
258380,303073,4,3.0
258385,158643,1,1.0
258391,254544,2,
258395,257088,3,
258396,260893,6,19.0
258398,294196,4,2.0
258399,219540,1,3.0
258401,112597,7,5.0
258404,194750,1,
258406,166227,1,2.0
258410,283520,1,5.0
258412,102578,2,16.0
258416,271739,2,1.0
258429,219959,2,2.0
258433,295548,1,1.0
258439,243394,1,3.0
258442,120971,2,2.0
258446,321273,2,2.0
258452,279582,3,3.0
258454,320740,1,10.0
258458,322660,3,8.0
258465,190614,5,12.0
258466,191344,2,
258467,222211,1,2.0
258470,277977,2,2.0
258471,299529,2,2.0
258474,280556,2,1.0
258476,204638,5,7.0
258479,135573,4,9.0
258480,150240,5,5.0
258483,134505,7,8.0
258485,145124,1,1.0
258487,160366,3,2.0
258492,193154,1,1.0
258508,106688,1,
258509,105708,3,3.0
258510,249566,2,11.0
258511,229229,3,3.0
258514,117042,7,16.0
258515,157274,3,11.0
258518,243851,2,6.0
258522,325323,5,
258523,128875,2,3.0
258529,275647,2,3.0
258531,248202,1,1.0
258533,294542,5,5.0
258574,302701,3,4.0
258575,219201,6,20.0
258576,155850,4,3.0
258578,287214,2,2.0
258582,121812,1,2.0
258586,153718,1,2.0
258595,140486,1,
258599,196180,1,1.0
258600,219448,1,4.0
258601,288878,1,4.0
258602,263431,1,2.0
258603,198821,1,
258606,210724,5,8.0
258612,250935,3,3.0
258615,160364,1,3.0
258616,205335,3,3.0
258621,293109,2,1.0
258623,147280,4,9.0
258624,106222,1,
258625,204006,3,1.0
258629,156156,1,
258632,112119,1,
258637,141321,1,1.0
258648,316449,5,4.0
258649,112095,3,4.0
258651,231131,3,5.0
258660,134786,3,3.0
258667,170706,2,
258672,122688,3,2.0
258676,287890,1,1.0
258677,102237,2,2.0
258678,321740,2,1.0
258679,308502,1,
258686,185076,1,
258690,215154,1,1.0
258693,130064,1,1.0
258694,215486,5,15.0
258703,103377,1,
258704,273301,3,4.0
258705,300765,3,6.0
258706,147370,2,2.0
258709,133840,2,5.0
258712,194590,10,11.0
258718,197893,1,
258719,155578,1,1.0
258723,272226,2,3.0
258736,260520,1,
258742,126162,1,
258750,257458,2,
258751,279845,2,4.0
258785,219306,1,1.0
258796,242893,7,12.0
258799,239247,1,
258801,207428,1,2.0
258802,116410,2,3.0
258807,308234,1,2.0
258809,130078,3,9.0
258813,221577,5,4.0
258816,212244,3,8.0
258821,114327,7,16.0
258822,262337,3,3.0
258823,208221,8,21.0
258824,181260,3,
258826,236334,1,2.0
258828,189191,4,4.0
258830,263509,2,2.0
258837,225017,3,
258839,283677,2,2.0
258849,197670,2,3.0
258852,110398,2,3.0
258854,222095,2,1.0
258859,130990,5,6.0
258871,259402,1,
258878,173001,2,4.0
258879,253991,1,
258887,256436,1,8.0
258888,276950,1,3.0
258893,280700,3,
258894,305309,10,14.0
258895,176960,1,2.0
258908,266194,3,2.0
258911,244133,1,
258916,197828,2,1.0
258919,170791,2,
258922,132192,2,2.0
258930,123940,2,1.0
258932,175746,2,3.0
258935,150161,4,
258937,222152,2,2.0
258974,194191,1,2.0
258975,217621,1,9.0
258976,194360,1,1.0
258977,140986,1,1.0
258979,176630,3,2.0
258983,247163,2,11.0
258989,277004,1,1.0
258991,266548,1,3.0
259000,124398,3,4.0
259005,211542,1,
259006,194855,1,3.0
259008,105615,3,13.0
259009,258573,2,5.0
259010,133080,2,2.0
259011,212509,4,2.0
259014,199911,1,
259017,165615,2,5.0
259018,249023,1,2.0
259019,103417,2,5.0
259020,217005,1,1.0
259021,300626,2,7.0
259023,259071,1,2.0
259025,131881,1,3.0
259032,102977,2,1.0
259033,236759,1,1.0
259034,188529,1,1.0
259035,101376,2,3.0
259037,250137,3,5.0
259039,174802,1,
259045,146410,2,2.0
259049,211172,1,1.0
259051,222446,2,1.0
259054,271613,3,2.0
259064,174688,1,
259067,259211,3,1.0
259069,123523,3,5.0
259074,228191,2,3.0
259077,182440,6,6.0
259090,116138,3,2.0
259092,202944,2,8.0
259094,301036,1,
259096,199806,5,3.0
259102,319856,3,4.0
259103,237720,2,3.0
259105,144550,1,1.0
259107,190539,1,
259113,157689,1,
259140,254970,2,4.0
259143,301539,6,8.0
259152,238887,2,2.0
259154,223755,1,1.0
259162,315867,1,
259163,197449,5,
259167,192083,2,1.0
259169,242210,1,
259173,310391,1,4.0
259181,202745,1,1.0
259182,165250,1,2.0
259183,300405,7,5.0
259185,153636,2,1.0
259187,311960,1,9.0
259189,298502,2,3.0
259194,268257,8,30.0
259195,179245,2,3.0
259196,200129,4,9.0
259197,193019,1,2.0
259200,282326,3,6.0
259209,221693,3,19.0
259211,231987,1,3.0
259215,247257,3,4.0
259217,241715,3,3.0
259218,130448,4,6.0
259221,319937,4,11.0
259227,143332,3,9.0
259229,242415,1,
259232,162386,1,
259236,187459,3,4.0
259240,278955,2,
259242,265624,1,1.0
259249,252676,2,3.0
259250,321396,1,1.0
259262,164090,2,
259265,296304,1,5.0
259267,222779,5,4.0
259270,232886,1,4.0
259276,141168,4,8.0
259277,203673,3,10.0
259282,237234,2,2.0
259283,133019,2,4.0
259284,300272,1,2.0
259287,119577,1,2.0
259297,179866,2,2.0
259298,255730,1,9.0
259300,266112,3,8.0
259304,288940,2,5.0
259308,310286,1,1.0
259351,193087,3,3.0
259353,193340,2,1.0
259354,151943,3,3.0
259357,280135,2,3.0
259358,110667,2,1.0
259362,164107,1,3.0
259364,220212,2,
259365,148870,2,1.0
259369,153434,6,8.0
259370,173159,4,10.0
259371,152278,1,
259374,302410,3,9.0
259377,293170,4,11.0
259378,217001,1,
259385,187621,5,5.0
259386,175587,1,
259387,123959,1,1.0
259389,234249,7,15.0
259391,196448,1,2.0
259392,265206,6,13.0
259398,304708,1,
259400,106260,4,4.0
259409,202166,2,6.0
259410,233877,3,4.0
259411,292709,4,10.0
259413,267214,3,
259416,298098,2,6.0
259420,185140,2,2.0
259425,275381,2,3.0
259426,207977,2,
259427,210112,1,1.0
259430,261723,1,2.0
259432,114024,6,8.0
259434,274993,2,
259437,299847,2,
259438,162173,2,2.0
259443,217302,2,1.0
259445,222515,2,1.0
259446,191280,1,
259447,111181,1,
259448,320200,2,7.0
259449,274327,2,1.0
259454,198324,3,4.0
259455,235623,1,1.0
259459,276665,2,3.0
259460,244743,1,1.0
259462,126065,2,5.0
259465,187625,1,
259466,253187,1,1.0
259474,251412,1,1.0
259475,236020,2,
259478,300847,1,5.0
259480,124942,5,3.0
259485,292262,3,7.0
259486,209646,6,3.0
259488,214055,1,
259489,122249,1,1.0
259493,218991,2,
259496,253921,2,4.0
259501,160535,2,3.0
259502,171001,3,2.0
259505,154961,2,3.0
259506,133823,5,11.0
259507,296396,2,
259511,324458,1,1.0
259533,280669,1,2.0
259539,318448,1,1.0
259541,122970,3,4.0
259542,152664,1,2.0
259547,114651,5,12.0
259551,104246,1,5.0
259561,233679,1,
259564,236509,1,
259566,239796,1,1.0
259567,199573,4,3.0
259568,315088,2,
259571,143385,1,6.0
259575,228547,1,1.0
259581,295007,2,
259583,215233,1,1.0
259585,232495,3,
259586,117793,1,
259592,272427,1,
259601,266538,2,5.0
259602,175916,2,2.0
259604,150684,2,2.0
259609,142158,2,1.0
259612,311352,2,1.0
259623,110365,1,2.0
259630,133014,3,5.0
259636,248251,3,6.0
259642,203047,1,1.0
259643,144592,3,2.0
259652,296906,3,2.0
259653,279128,2,3.0
259654,104514,1,1.0
259662,180356,4,6.0
259666,126089,1,1.0
259674,211196,1,
259676,149976,1,
259700,159944,2,2.0
259702,191724,1,
259706,205220,3,3.0
259708,153446,1,2.0
259709,212795,2,2.0
259710,162841,1,1.0
259711,274044,2,3.0
259713,139655,1,1.0
259717,129690,1,1.0
259723,270474,1,1.0
259724,182306,1,
259726,103898,1,
259727,184537,2,
259728,246637,2,4.0
259729,191342,1,3.0
259730,271491,2,3.0
259734,192744,1,3.0
259738,180782,1,2.0
259740,225296,2,5.0
259753,279704,3,3.0
259754,315127,1,
259759,178538,6,7.0
259760,208354,1,
259761,306577,1,
259762,269699,2,13.0
259763,104034,2,4.0
259768,101950,6,12.0
259771,294438,2,3.0
259774,139277,3,2.0
259779,283804,3,1.0
259780,240323,2,13.0
259784,136260,1,
259796,317834,1,
259800,125426,1,1.0
259801,276141,1,
259814,286590,1,2.0
259816,269120,1,2.0
259820,324491,2,
259821,271990,1,1.0
259822,206147,4,7.0
259833,251490,2,4.0
259835,164420,1,
259836,270643,1,2.0
259839,314326,2,2.0
259842,128266,4,6.0
259845,168690,1,1.0
259848,216513,7,
259850,286613,1,
259852,223431,2,3.0
259855,256002,1,
259884,157202,1,1.0
259885,296995,2,1.0
259886,226787,1,1.0
259897,162581,1,
259898,247855,2,2.0
259899,163469,5,5.0
259901,208151,1,
259902,248358,2,5.0
259904,214110,1,2.0
259910,130536,3,3.0
259916,104423,2,1.0
259917,227174,5,5.0
259931,183990,1,5.0
259932,123947,2,3.0
259936,245599,1,
259941,268146,2,
259951,116703,3,5.0
259952,167308,1,1.0
259955,111375,1,2.0
259956,161480,2,5.0
259965,179773,2,1.0
259970,321369,2,1.0
259973,138858,1,1.0
259976,116182,6,4.0
259977,299004,1,1.0
259978,170368,1,
259981,214767,4,12.0
259988,235509,2,4.0
259993,306495,2,5.0
259994,178989,1,
259996,155681,2,
260000,161385,2,5.0
260003,133782,2,1.0
260004,249839,2,2.0
260006,122113,2,7.0
260009,155471,2,1.0
260011,165706,2,3.0
260013,231393,1,1.0
260018,172990,1,
260023,235249,1,2.0
260025,244851,1,1.0
260056,308167,2,2.0
260065,164466,2,3.0
260066,233872,2,2.0
260069,112533,1,
260086,170434,3,5.0
260089,287334,2,
260091,157139,1,9.0
260094,272419,1,1.0
260108,259584,1,4.0
260112,173882,2,
260125,159420,1,1.0
260129,238781,2,1.0
260131,140840,2,
260132,201355,4,1.0
260133,276209,1,1.0
260137,273675,1,3.0
260142,297540,1,1.0
260143,238415,3,3.0
260144,243568,2,2.0
260145,131723,1,
260149,121391,2,3.0
260150,262973,1,3.0
260152,204487,1,1.0
260155,268317,7,14.0
260158,253007,4,5.0
260159,148385,1,1.0
260161,309645,1,2.0
260162,138238,2,5.0
260168,208059,3,5.0
260169,268879,2,5.0
260173,281733,1,
260174,197912,1,4.0
260175,262074,1,1.0
260185,200020,1,
260186,118068,1,
260212,136644,2,2.0
260216,218564,4,2.0
260217,196415,1,
260219,177496,1,
260220,166333,2,
260231,205419,2,1.0
260232,165590,1,3.0
260234,248309,6,6.0
260236,186112,1,1.0
260238,219756,2,3.0
260244,153892,4,5.0
260245,119788,1,1.0
260248,103797,2,2.0
260253,290676,2,
260254,254534,3,1.0
260255,137385,2,3.0
260257,246258,1,
260258,285771,2,
260259,155103,3,2.0
260260,199451,1,4.0
260263,249872,2,18.0
260266,116631,2,1.0
260271,293261,2,3.0
260275,207332,1,10.0
260277,197040,2,1.0
260282,115797,2,8.0
260287,321811,1,
260289,155172,3,
260290,302333,2,4.0
260295,217735,4,4.0
260297,296931,2,10.0
260298,298131,1,
260300,105564,1,2.0
260302,270251,2,7.0
260303,210413,1,2.0
260309,212927,2,7.0
260315,142764,3,1.0
260319,256927,1,
260321,108077,2,
260322,276840,1,
260323,120535,1,9.0
260337,306268,1,1.0
260338,267529,4,1.0
260339,194895,1,1.0
260368,219291,2,7.0
260377,180578,2,
260380,323503,1,
260381,111422,1,1.0
260383,198672,1,
260386,236626,2,1.0
260391,205249,1,
260395,318355,1,2.0
260396,304965,3,4.0
260397,237410,2,2.0
260398,227188,1,2.0
260400,310364,1,
260405,280206,1,
260411,274540,4,9.0
260414,107278,3,3.0
260419,184651,1,
260420,318702,1,2.0
260421,278793,2,
260422,219519,1,1.0
260426,321160,2,1.0
260427,108070,1,1.0
260434,324994,3,
260438,216094,1,
260442,143443,2,4.0
260443,303440,6,10.0
260448,151564,3,2.0
260449,239684,1,1.0
260462,318353,1,2.0
260465,285887,2,1.0
260466,290527,1,1.0
260467,322991,1,2.0
260471,188353,1,6.0
260478,320241,1,
260479,203777,3,
260481,245004,3,10.0
260482,286152,2,
260489,206206,2,2.0
260518,162790,2,
260523,133588,3,5.0
260528,263368,3,5.0
260532,217904,1,2.0
260539,295337,1,1.0
260541,132529,1,1.0
260549,190035,1,
260553,193304,2,
260557,135342,2,5.0
260567,187819,3,3.0
260568,100465,3,5.0
260570,218704,1,1.0
260571,287469,3,1.0
260576,221527,3,5.0
260580,102913,1,1.0
260584,253695,2,4.0
260590,310168,1,1.0
260596,150937,3,5.0
260599,115013,1,4.0
260600,240366,3,5.0
260601,165569,3,5.0
260607,165977,1,
260608,183294,1,1.0
260609,240722,1,2.0
260612,281282,2,2.0
260614,151229,1,
260617,322217,1,
260618,237816,1,1.0
260623,226054,1,
260624,195912,1,1.0
260625,254658,3,2.0
260627,110158,2,
260628,181874,3,8.0
260630,265654,4,3.0
260639,200346,1,
260641,190101,2,6.0
260644,147159,1,
260645,112994,3,2.0
260647,166128,1,3.0
260648,245713,2,2.0
260669,116814,2,4.0
260672,297401,3,6.0
260675,269259,2,13.0
260676,159309,6,1.0
260681,159428,3,1.0
260685,306056,1,2.0
260687,119952,1,4.0
260688,239442,2,15.0
260692,173583,2,8.0
260699,139809,1,2.0
260701,307017,1,
260706,149176,8,2.0
260716,226075,2,
260717,172524,2,4.0
260722,228241,5,8.0
260724,245383,2,2.0
260726,291287,1,1.0
260727,223710,5,
260730,192414,2,7.0
260734,255965,1,
260735,260003,1,1.0
260739,226936,1,
260740,104629,1,2.0
260746,171115,1,1.0
260759,145516,1,1.0
260761,141033,1,2.0
260762,312902,1,6.0
260763,143768,4,4.0
260764,142279,1,
260766,247601,1,
260769,296204,1,3.0
260772,318886,5,9.0
260773,109819,2,1.0
260778,137076,1,1.0
260784,149626,2,1.0
260789,270447,1,
260837,231517,1,
260840,295305,5,5.0
260842,265519,1,2.0
260845,154271,2,1.0
260850,150618,1,
260851,180526,2,
260852,266260,2,2.0
260854,254888,1,1.0
260855,240901,2,1.0
260856,146386,1,
260858,307353,1,1.0
260864,132889,1,2.0
260871,145327,1,
260876,146472,1,
260877,232364,1,6.0
260883,163595,1,1.0
260884,216068,3,9.0
260887,157056,1,
260888,305711,1,2.0
260889,152741,2,5.0
260892,128060,1,
260895,317505,1,5.0
260896,195196,1,3.0
260898,152184,2,2.0
260904,267225,3,3.0
260909,171688,1,7.0
260911,194255,2,3.0
260912,217977,4,5.0
260913,277876,1,
260914,203819,2,1.0
260918,158920,1,
260922,127970,3,
260923,292891,1,10.0
260926,114702,2,6.0
260927,262345,1,3.0
260930,190564,1,2.0
260936,311067,1,
260966,121680,2,8.0
260970,302230,2,
260971,259435,1,
260975,306589,1,2.0
260976,309404,5,7.0
260982,110903,1,3.0
260983,166944,1,1.0
260984,192974,2,1.0
260985,226702,1,4.0
260986,175518,1,
260990,255708,2,11.0
260993,325910,3,2.0
260996,204307,3,4.0
260997,237771,1,1.0
261000,237920,1,1.0
261004,272201,1,1.0
261009,205709,3,2.0
261010,287147,4,9.0
261014,277272,1,1.0
261015,102800,2,
261019,293732,1,1.0
261027,274805,1,3.0
261035,325203,5,13.0
261039,314456,1,1.0
261040,311025,3,9.0
261042,130511,1,2.0
261044,158609,2,3.0
261052,146572,2,
261056,182051,1,1.0
261057,225344,1,
261058,228811,3,1.0
261060,235965,3,4.0
261066,316453,2,5.0
261067,212368,1,
261071,149081,4,7.0
261072,265010,1,3.0
261075,315681,2,3.0
261076,269732,4,4.0
261108,126783,1,4.0
261111,188411,1,1.0
261113,184057,3,6.0
261119,324637,1,2.0
261123,269253,1,
261130,100672,4,7.0
261131,109958,2,4.0
261132,194961,2,5.0
261133,282818,1,1.0
261137,123150,6,4.0
261138,105666,1,1.0
261139,203952,1,2.0
261141,171865,2,1.0
261142,204326,1,1.0
261146,190676,1,
261148,308353,3,4.0
261153,255483,2,2.0
261157,292993,2,8.0
261166,177435,3,6.0
261167,271221,1,1.0
