,IDENTIFIER,TRX_AMOUNT,TRX_CNT,MERCHANT_CNT,MODE_1,MODE_1_CNT
1029,109229,56.98,4,3,Bills,3
1037,200994,44.95,2,2,Bills,1
1045,134154,51.92,3,2,Bills,2
1046,205526,27.7,2,2,Bills,1
1048,142697,62.31,3,3,Bills,2
1049,310946,32.16,2,2,Bills,1
1050,304545,38.85,5,2,Bills,4
1054,139252,25.53,2,2,Bills,1
1056,136033,62.48,2,2,Bills,1
1057,117669,42.26,2,2,Bills,1
1065,180053,114.02,3,3,Bills,1
1067,149890,21.29,2,2,Bills,1
1068,178140,41.89,4,2,Bills,2
1071,325807,13.39,2,2,Bills,1
1072,117291,61.41,3,3,Bills,2
1073,123528,36.92,3,2,Bills,2
1074,220037,76.11,2,2,Bills,1
1075,124426,59.76,5,4,Bills,3
1076,136423,108.27,9,5,Bills,3
1078,119748,57.33,7,5,Bills,2
1080,103077,78.95,8,4,Bills,3
1082,307641,70.47,5,4,Bills,2
1087,103500,41.2,4,4,Bills,1
1088,127662,13.63,9,3,Bills,5
1101,100480,42.58,5,3,Bills,2
1119,129097,58.14,6,4,Bills,3
1120,129089,69.06,8,7,Bills,2
1126,139769,10.87,3,2,Bills,2
1133,101574,65.71,5,2,Bills,3
1134,186607,42.24,3,3,Bills,2
1136,106677,17.69,2,2,Bills,1
1137,281647,12.66,5,3,Bills,3
1140,159695,57.14,4,2,Bills,2
1166,259140,13.9,2,2,Bills,1
1167,191176,48.89,4,3,Bills,2
1169,131733,43.38,3,3,Bills,2
1170,283484,52.37,3,3,Bills,2
1171,172554,77.27,4,3,Bills,2
1173,173765,67.4,2,2,Bills,1
1178,105612,20.09,2,2,Bills,1
1185,289179,26.65,2,2,Bills,1
1189,284823,39.94,3,3,Bills,2
1190,308408,17.79,2,2,Bills,1
1204,116609,104.12,7,4,Bills,4
1221,122261,86.39,7,6,Bills,3
1222,140016,43.9,5,4,Bills,2
1229,140300,53.46,5,4,Bills,3
1230,136349,41.49,3,3,Bills,1
1241,127459,77.35,4,4,Bills,2
1246,138501,55.14,11,4,Bills,7
1247,128234,69.89,5,5,Bills,2
1248,142816,22.97,3,3,Bills,1
1249,112052,132.76,4,4,Bills,2
1266,135852,27.01,3,3,Bills,1
1278,136589,32.94,5,5,Bills,2
1279,103252,113.61,6,4,Bills,4
1280,122359,25.42,4,4,Bills,2
1281,115404,54.26,5,4,Bills,2
1292,121180,99.95,4,3,Bills,2
1293,125392,32.3,4,4,Bills,2
1294,127198,56.36,6,5,Bills,3
1295,136480,233.4,15,6,Bills,7
1305,101547,46.17,4,4,Bills,2
1315,106206,83.84,8,5,Bills,4
1316,111063,38.26,4,4,Bills,2
1317,122578,8.29,3,3,Bills,1
1327,100596,53.91,5,4,Bills,2
1328,129676,25.44,4,3,Bills,2
1329,109744,70.75,5,4,Bills,2
1330,132793,31.46,7,3,Bills,4
1332,115112,44.65,4,4,Bills,2
1333,113450,124.86,7,6,Bills,3
1334,107367,15.17,5,4,Bills,3
1335,112021,22.4,3,3,Bills,1
1336,117886,51.55,8,5,Bills,5
1345,132237,57.85,4,4,Bills,2
1346,122757,62.36,5,3,Bills,2
1347,141654,33.92,3,3,Bills,1
1348,124888,634.6,10,5,Bills,7
1349,118956,61.42,5,4,Bills,3
1350,126337,45.62,5,4,Bills,2
1357,142234,48.88,5,5,Bills,1
1375,121958,97.76,4,4,Bills,2
1376,114814,62.76,6,4,Bills,3
1377,125643,36.5,4,4,Bills,2
1388,125972,31.97,5,5,Bills,2
1395,114148,86.49,6,5,Bills,2
1396,137452,41.46,5,4,Bills,2
1397,104275,7.69,3,3,Bills,1
1398,135998,161.83,9,5,Bills,4
1409,120005,70.2,4,4,Bills,2
1410,114341,132.11,4,3,Bills,2
1411,136885,30.48,10,4,Bills,8
1417,124562,59.5,5,4,Bills,2
1418,106351,22.43,3,3,Bills,1
1419,105420,70.11,7,4,Bills,3
1420,298289,66.82,5,5,Bills,3
1427,116710,144.03,10,7,Bills,4
1428,103406,42.74,3,3,Bills,1
1429,130610,28.74,4,4,Bills,2
1438,122499,66.17,4,4,Bills,2
1439,106345,97.76,6,5,Bills,3
1446,106824,14.72,3,3,Bills,1
1459,134893,45.16,3,3,Bills,1
1460,109113,66.03,5,4,Bills,3
1461,126225,29.25,4,4,Bills,2
1462,107432,49.43,3,3,Bills,1
1471,103944,75.61,10,8,Bills,5
1479,112022,72.63,5,4,Bills,2
1480,117884,98.01,8,6,Bills,4
1481,108341,86.41,11,9,Bills,4
1482,105138,155.03,8,4,Bills,5
1483,313742,48.97,3,3,Bills,1
1495,127749,40.91,9,3,Bills,4
1496,130497,70.82,5,4,Bills,2
1497,131505,111.41,13,7,Bills,7
1498,147472,147.99,7,6,Bills,3
1514,139921,42.2,3,3,Bills,1
1522,100953,110.74,5,4,Bills,2
1523,130584,64.52,7,5,Bills,4
1534,123917,63.38,8,4,Bills,5
1535,117066,116.43,9,6,Bills,4
1536,130594,113.54,5,4,Bills,2
1546,106554,48.88,4,4,Bills,2
1551,107714,140.17,12,7,Bills,6
1552,137695,91.36,5,4,Bills,3
1555,107526,91.22,5,5,Bills,2
1566,202012,54.21,13,5,Bills,6
1569,110998,33.65,3,3,Bills,1
1573,269836,135.67,4,4,Bills,2
1580,247125,99.36,3,3,Bills,1
1581,276175,40.57,3,3,Bills,1
1582,156272,45.14,6,4,Bills,3
1583,149844,43.55,5,4,Bills,2
1593,241986,45.09,5,4,Bills,2
1598,229942,35.03,5,4,Bills,2
1605,130173,31.24,3,3,Bills,1
1613,175592,23.06,7,3,Bills,3
1614,315380,46.75,3,3,Bills,1
1623,126261,22.98,4,4,Bills,2
1626,104427,34.87,5,3,Bills,3
1627,296408,38.89,4,4,Bills,2
1630,128133,36.32,3,3,Bills,1
1631,118630,16.5,3,3,Bills,1
1635,124520,72.77,5,5,Bills,2
1636,133869,34.47,3,3,Bills,1
1637,125566,111.81,7,4,Bills,4
1640,233770,67.83,3,3,Bills,1
1642,177065,45.81,4,4,Bills,2
1645,130456,54.45,5,5,Bills,2
1646,272202,42.85,4,3,Bills,2
1647,113283,84.16,6,4,Bills,3
1652,204021,46.05,3,3,Bills,1
1653,105888,68.72,6,5,Bills,3
1664,290998,33.06,6,6,Bills,2
1667,186038,33.69,4,4,Bills,2
1668,179636,34.99,3,3,Bills,1
1672,141423,37.33,6,5,Bills,2
1673,223319,36.17,5,5,Bills,3
1683,199651,28.14,9,4,Bills,6
1689,311020,32.27,3,3,Bills,1
1704,168771,45.79,5,4,Bills,3
1710,278132,65.97,5,4,Bills,3
1717,138585,84.14,11,5,Bills,5
1721,153995,63.83,4,3,Bills,2
1722,201795,19.9,3,3,Bills,1
1734,116891,355.42,9,4,Bills,4
1735,105650,89.52,13,6,Bills,9
1740,137266,102.96,6,5,Bills,3
1743,139231,35.24,6,6,Bills,2
1748,133029,19.61,8,5,Bills,3
1752,130278,72.84,5,5,Bills,2
1755,263358,132.5,10,6,Bills,3
1758,311098,111.08,3,3,Bills,1
1773,128712,8.86,7,5,Bills,3
1774,177296,82.56,5,4,Bills,3
1784,123698,69.57,4,4,Bills,2
1785,133768,61.94,5,4,Bills,2
1786,131818,45.69,5,5,Bills,2
1801,317748,39.06,3,3,Bills,1
1813,325628,56.96,5,5,Bills,2
1814,156370,38.85,4,4,Bills,2
1828,108295,16.85,3,3,Bills,1
1829,140990,31.67,4,4,Bills,2
1830,152326,63.17,5,5,Bills,2
1831,306648,27.55,5,5,Bills,2
1845,168789,32.39,14,4,Bills,8
1846,255946,18.19,3,3,Bills,1
1873,135011,26.43,6,4,Bills,3
1874,242196,35.02,4,4,Bills,2
1880,137319,73.35,6,6,Bills,2
1881,282227,48.57,5,4,Bills,2
1882,126186,30.82,6,4,Bills,2
1898,100444,29.55,4,4,Bills,2
1899,285686,49.81,6,4,Bills,4
1900,144731,30.64,5,3,Bills,2
1901,189398,60.14,5,4,Bills,2
1911,175962,59.1,4,3,Bills,2
1912,271240,37.16,5,5,Bills,2
1913,168734,28.61,4,4,Bills,2
1914,117923,57.22,4,4,Bills,2
1915,290464,30.8,14,5,Bills,5
1916,186446,32.82,7,4,Bills,3
1917,258971,67.06,3,3,Bills,1
1926,248726,7.64,3,3,Bills,1
1927,110123,36.45,5,4,Bills,2
1928,122467,82.64,8,5,Bills,4
1938,136329,72.7,10,3,Bills,5
