iter	Passed	Remaining
581	2212	1589
582	2215	1584
583	2218	1580
584	2221	1575
585	2223	1571
586	2227	1567
587	2230	1562
588	2233	1558
589	2235	1553
590	2239	1549
591	2241	1544
592	2245	1540
593	2247	1536
594	2250	1531
595	2252	1526
596	2256	1522
597	2258	1518
598	2262	1514
599	2264	1509
600	2267	1505
601	2269	1500
602	2272	1496
603	2275	1491
604	2279	1487
605	2281	1483
606	2285	1479
607	2286	1474
608	2290	1470
609	2293	1466
610	2296	1462
611	2299	1457
612	2302	1453
613	2305	1449
614	2308	1445
615	2311	1440
616	2314	1436
617	2317	1432
618	2320	1428
619	2322	1423
620	2326	1419
621	2328	1415
622	2331	1411
623	2334	1406
624	2338	1402
625	2341	1398
626	2344	1394
627	2347	1390
628	2350	1386
629	2352	1381
630	2356	1377
631	2358	1373
632	2362	1369
633	2364	1364
634	2367	1361
635	2370	1356
636	2374	1352
637	2376	1348
638	2380	1344
639	2382	1340
640	2385	1336
641	2388	1331
642	2391	1328
643	2394	1323
644	2397	1319
645	2400	1315
646	2404	1311
647	2406	1307
648	2410	1303
649	2412	1298
650	2415	1295
651	2417	1290
652	2421	1286
653	2424	1282
654	2427	1278
655	2430	1274
656	2433	1270
657	2436	1266
658	2440	1262
659	2442	1258
660	2446	1254
661	2448	1250
662	2451	1246
663	2454	1241
664	2457	1238
665	2460	1233
666	2463	1229
667	2465	1225
668	2469	1221
669	2472	1217
670	2475	1213
671	2478	1209
672	2481	1205
673	2485	1201
674	2488	1198
675	2490	1193
676	2494	1189
677	2496	1185
678	2500	1181
679	2502	1177
680	2505	1173
681	2508	1169
682	2511	1165
683	2514	1161
684	2517	1157
685	2520	1153
686	2523	1149
687	2526	1145
688	2529	1141
689	2532	1137
690	2535	1133
691	2537	1129
692	2541	1125
693	2543	1121
694	2546	1117
695	2549	1113
696	2553	1110
697	2555	1105
698	2559	1101
699	2561	1097
700	2565	1094
701	2567	1089
702	2571	1086
703	2573	1082
704	2577	1078
705	2579	1074
706	2584	1070
707	2587	1067
708	2590	1063
709	2594	1059
710	2596	1055
711	2601	1052
712	2603	1048
713	2608	1044
714	2610	1040
715	2615	1037
716	2617	1033
717	2621	1029
718	2624	1025
719	2628	1022
720	2632	1018
721	2635	1014
722	2639	1011
723	2642	1007
724	2646	1003
725	2649	999
726	2653	996
727	2655	992
728	2658	988
729	2661	984
730	2666	981
731	2668	977
732	2672	973
733	2675	969
734	2679	966
735	2682	962
736	2686	958
737	2689	954
738	2693	951
739	2696	947
740	2699	943
741	2702	939
742	2706	936
743	2708	932
744	2712	928
745	2715	924
746	2719	921
747	2722	917
748	2726	913
749	2729	909
750	2733	906
751	2747	905
752	2750	902
753	2753	898
754	2756	894
755	2758	890
756	2762	886
757	2764	882
758	2768	879
759	2771	875
760	2775	871
761	2777	867
762	2781	863
